Spotting ID,Bee Spotter,Date Spotted,Date Submitted,Title,Latitude,Longitude,Amateur Species Identification,Expert Species Identification (Primary),Expert Species Identification (Secondary),Protected Species?,Location Obscured?,Sex,Caste,Spotting URL,Number of Days Between Date Spotted and Date Added to Site,Photo ID,Rating,Has Pollen on Legs,Flower,Image URL
4006,melissarecords,3/11/2015,3/15/2015,Bee on witch hazel,4.010.086.295.381.970,-8.824.776.113.033.290,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/4006,4,6658,10,No,,https://beespotter.org/beedata/bees/4006-1.jpg
4016,melabee,3/14/2015,4/4/2015,krohns bee,391.153.012,-8.449.009.480.000.000,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/4016,21,6661,10,Yes,,https://beespotter.org/beedata/bees/4016-1.jpg
4007,SkrentnyJeff,3/16/2015,3/17/2015,LaBagh #1 2015,4.197.939.248.108.700,-8.774.286.746.978.760,,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/4007,1,6659,7,No,,https://beespotter.org/beedata/bees/4007-1.jpg
4019,samlindgren,3/19/2015,4/9/2015,Bee in Crocus,4.011.413.380.292.370,-8.825.767.993.927.000,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/4019,21,6666,10,Yes,,https://beespotter.org/beedata/bees/4019-3.jpg
4019,samlindgren,3/19/2015,4/9/2015,Bee in Crocus,4.011.413.380.292.370,-8.825.767.993.927.000,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/4019,21,6665,10,Yes,,https://beespotter.org/beedata/bees/4019-2.jpg
4019,samlindgren,3/19/2015,4/9/2015,Bee in Crocus,4.011.413.380.292.370,-8.825.767.993.927.000,Apis mellifera,Apis mellifera,,f,f,female,Worker,https://beespotter.org/bee/4019,21,6664,10,Yes,,https://beespotter.org/beedata/bees/4019-1.jpg
4052,ZoogaShaka,4/9/2015,5/9/2015,Bumblebee on Atlantic Camas at CRP visitor center prairie,3.263.789.319.364.060,-969.578.218.460.083,Bombus griseocollis,Bombus griseocollis,,f,f,female,Worker,https://beespotter.org/bee/4052,30,6737,10,No,,https://beespotter.org/beedata/bees/4052-14.jpg
4052,ZoogaShaka,4/9/2015,5/9/2015,Bumblebee on Atlantic Camas at CRP visitor center prairie,3.263.789.319.364.060,-969.578.218.460.083,Bombus griseocollis,Bombus griseocollis,,f,f,female,Worker,https://beespotter.org/bee/4052,30,6734,10,No,,https://beespotter.org/beedata/bees/4052-11.jpg
4052,ZoogaShaka,4/9/2015,5/9/2015,Bumblebee on Atlantic Camas at CRP visitor center prairie,3.263.789.319.364.060,-969.578.218.460.083,Bombus griseocollis,Bombus griseocollis,,f,f,female,Worker,https://beespotter.org/bee/4052,30,6730,10,No,,https://beespotter.org/beedata/bees/4052-7.jpg
4052,ZoogaShaka,4/9/2015,5/9/2015,Bumblebee on Atlantic Camas at CRP visitor center prairie,3.263.789.319.364.060,-969.578.218.460.083,Bombus griseocollis,Bombus griseocollis,,f,f,female,Worker,https://beespotter.org/bee/4052,30,6729,10,No,,https://beespotter.org/beedata/bees/4052-6.jpg
